City_Code|city|state_name|county_name
10080|Princeton Junction|New Jersey|Mercer
10081|Wofford Heights|California|Kern
10082|Olivia|Minnesota|Renville
10083|Mulino|Oregon|Clackamas
10084|Olga|Florida|Lee
10085|St. Paul|Nebraska|Howard
10086|Shenandoah|Virginia|Page
10087|Rogue River|Oregon|Jackson
10088|Wheeler AFB|Hawaii|Honolulu
10089|Lithonia|Georgia|DeKalb
1009|Portage|Michigan|Kalamazoo
10090|Sun Valley|Pennsylvania|Monroe
10091|Laurel Park|North Carolina|Henderson
10092|Parkside|Pennsylvania|Delaware
10093|Cascade|Iowa|Dubuque
10094|Edgemont Park|Michigan|Ingham
10095|Kensington|Maryland|Montgomery
10096|McQueeney|Texas|Guadalupe
10097|Dousman|Wisconsin|Waukesha
10098|Abram|Texas|Hidalgo
10099|Green Level|North Carolina|Alamance
101|Oakland|California|Alameda
1010|Minot|North Dakota|Ward
10100|Shenorock|New York|Westchester
10101|Bridgetown|Mississippi|DeSoto
10102|West Belmar|New Jersey|Monmouth
10103|Winnsboro Mills|South Carolina|Fairfield
10104|Campbell|Florida|Osceola
10105|Fairlawn|Virginia|Pulaski
10106|Amboy|Illinois|Lee
10107|Antlers|Oklahoma|Pushmataha
10108|Bethlehem|West Virginia|Ohio
10109|Kershaw|South Carolina|Lancaster
1011|Dunwoody|Georgia|DeKalb
10110|Weldon|California|Kern
10111|Lebanon South|Pennsylvania|Lebanon
10112|South Paris|Maine|Oxford
10113|Kiln|Mississippi|Hancock
10114|Bath|Michigan|Clinton
10115|Petersburg|Indiana|Pike
10116|Pine Air|Florida|Palm Beach
10117|Shawnee Hills|Ohio|Greene
10118|Richgrove|California|Tulare
10119|Flandreau|South Dakota|Moody
1012|Poway|California|San Diego
10120|La Blanca|Texas|Hidalgo
10121|Liberty City|Texas|Gregg
10122|Marshfield Hills|Massachusetts|Plymouth
10123|La Mesilla|New Mexico|Rio Arriba
10124|Riverview|Delaware|Kent
10125|Portola|California|Plumas
10126|Coal Creek|Colorado|Jefferson
10127|Panhandle|Texas|Carson
10128|Hazen|North Dakota|Mercer
10129|Anahola|Hawaii|Kauai
1013|San Jacinto|California|Riverside
10130|Twain Harte|California|Tuolumne
10131|Wilberforce|Ohio|Greene
10132|Ferrum|Virginia|Franklin
10133|Nedrow|New York|Onondaga
10134|Mascot|Tennessee|Knox
10135|Harrisburg|Arkansas|Poinsett
10136|Churchill|Ohio|Trumbull
10137|Star Valley|Arizona|Gila
10138|Idalou|Texas|Lubbock
10139|Navassa|North Carolina|Brunswick
1014|Troy|New York|Rensselaer
10140|Junction City|Kentucky|Boyle
10141|West Union|Iowa|Fayette
10142|Mason|Texas|Mason
10143|Hollandale|Mississippi|Washington
10144|Whetstone|Arizona|Cochise
10145|Burley|Washington|Kitsap
10146|Red Lodge|Montana|Carbon
10147|Bronson|Michigan|Branch
10148|Fowler|Indiana|Benton
10149|Tool|Texas|Henderson
1015|Newark|California|Alameda
10150|Canton|Missouri|Lewis
10151|Honaunau-Napoopoo|Hawaii|Hawaii
10152|Milton|Louisiana|Lafayette
10153|Pequot Lakes|Minnesota|Crow Wing
10154|Hull|Iowa|Sioux
10155|Anson|Texas|Jones
10156|Bridgeport|Alabama|Jackson
10157|Wrightsville|Pennsylvania|York
10158|Old Saybrook Center|Connecticut|Middlesex
10159|Gibsonia|Pennsylvania|Allegheny
1016|Cuyahoga Falls|Ohio|Summit
10160|Romoland|California|Riverside
10161|Terrace Park|Ohio|Hamilton
10162|Salmon Brook|Connecticut|Hartford
10163|Orchard Hills|Pennsylvania|Armstrong
10164|Woodland Beach|Michigan|Monroe
10165|Redington Shores|Florida|Pinellas
10166|Pine Ridge at Crestwood|New Jersey|Ocean
10167|Santo Domingo Pueblo|New Mexico|Sandoval
10168|Lincoln Park|New York|Ulster
10169|Arnold|California|Calaveras
1017|Downers Grove|Illinois|DuPage
10170|Johnsonburg|Pennsylvania|Elk
10171|Weedpatch|California|Kern
10172|Clinton|Michigan|Lenawee
10173|Parsons|Tennessee|Decatur
10174|Gumlog|Georgia|Franklin
10175|Rainier|Washington|Thurston
10176|Texanna|Oklahoma|McIntosh
10177|Croswell|Michigan|Sanilac
10178|Wellston|Missouri|St. Louis
10179|Poth|Texas|Wilson
1018|Bedford|Texas|Tarrant
10180|Oceana|West Virginia|Wyoming
10181|Slippery Rock University|Pennsylvania|Butler
10182|Greenport West|New York|Suffolk
10183|Sag Harbor|New York|Suffolk
10184|Ludowici|Georgia|Long
10185|Carnation|Washington|King
10186|Vernonia|Oregon|Columbia
10187|Boquer+¦n|Puerto Rico|Cabo Rojo
10188|Brice Prairie|Wisconsin|La Crosse
10189|Ina|Illinois|Jefferson
1019|Reedley|California|Fresno
10190|Hughesville|Maryland|Charles
10191|Brogden|North Carolina|Wayne
10192|Trowbridge Park|Michigan|Marquette
10193|East Sonora|California|Tuolumne
10194|North Spearfish|South Dakota|Lawrence
10195|Denmark|Wisconsin|Brown
10196|Carlin|Nevada|Elko
10197|Alamo|Tennessee|Crockett
10198|Cass City|Michigan|Tuscola
10199|Tazewell|Tennessee|Claiborne
102|Durham|North Carolina|Durham
1020|Dublin|Ohio|Franklin
10200|Guin|Alabama|Marion
10201|Pablo|Montana|Lake
10202|Egypt|Pennsylvania|Lehigh
10203|Redfield|South Dakota|Spink
10204|Sleepy Hollow|California|Marin
10205|Oakhurst|Oklahoma|Tulsa
10206|Geistown|Pennsylvania|Cambria
10207|Belcourt|North Dakota|Rolette
10208|Calabash|North Carolina|Brunswick
10209|Walton Hills|Ohio|Cuyahoga
1021|Marana|Arizona|Pima
10210|Herington|Kansas|Dickinson
10211|Greensboro|Alabama|Hale
10212|Brinckerhoff|New York|Dutchess
10213|Quail Ridge|Florida|Pasco
10214|Skyline Acres|Ohio|Hamilton
10215|Mayer|Minnesota|Carver
10216|Aguas Claras|Puerto Rico|Ceiba
10217|Clearlake Oaks|California|Lake
10218|Center|Colorado|Saguache
10219|Fairdale|Pennsylvania|Greene
1022|Cypress|California|Orange
10220|Rangely|Colorado|Rio Blanco
10221|Fort Polk North|Louisiana|Vernon
10222|Belmond|Iowa|Wright
10223|Wilson-Conococheague|Maryland|Washington
10224|Durant|Mississippi|Holmes
10225|Utica|Ohio|Licking
10226|Tunica Resorts|Mississippi|Tunica
10227|Poplar-Cotton Center|California|Tulare
10228|Waterloo|Indiana|DeKalb
10229|West Wareham|Massachusetts|Plymouth
1023|Hollister|California|San Benito
10230|Mitchellville|Iowa|Polk
10231|Zion|Pennsylvania|Centre
10232|Escatawpa|Mississippi|Jackson
10233|Spencer|Indiana|Owen
10234|Splendora|Texas|Montgomery
10235|Ogdensburg|New Jersey|Sussex
10236|Oak Hills|Pennsylvania|Butler
10237|Westby|Wisconsin|Vernon
10238|Alpha|New Jersey|Warren
10239|Four Oaks|North Carolina|Johnston
1024|Murray|Utah|Salt Lake
10240|Westmorland|California|Imperial
10241|Oyster Bay Cove|New York|Nassau
10242|Madelia|Minnesota|Watonwan
10243|Aliceville|Alabama|Pickens
10244|Honalo|Hawaii|Hawaii
10245|New Market|Virginia|Shenandoah
10246|Fredonia|Wisconsin|Ozaukee
10247|Grove City|Florida|Charlotte
10248|Watsontown|Pennsylvania|Northumberland
10249|Janesville|Minnesota|Waseca
1025|Roswell|New Mexico|Chaves
10250|Tompkinsville|Kentucky|Monroe
10251|Meeker|Colorado|Rio Blanco
10252|Seneca|Illinois|LaSalle
10253|Aptos Hills-Larkin Valley|California|Santa Cruz
10254|Hunter|Ohio|Warren
10255|Willamina|Oregon|Yamhill
10256|Lamoni|Iowa|Decatur
10257|Lakeside|Montana|Flathead
10258|Los Prados|Puerto Rico|Caguas
10259|Lineville|Alabama|Clay
1026|Pascagoula|Mississippi|Jackson
10260|Paia|Hawaii|Maui
10261|Keokea|Hawaii|Maui
10262|Falconer|New York|Chautauqua
10263|Ferdinand|Indiana|Dubois
10264|Lisbon|Iowa|Linn
10265|Spring Mount|Pennsylvania|Montgomery
10266|Colstrip|Montana|Rosebud
10267|Shingletown|California|Shasta
10268|Fairmount|Tennessee|Hamilton
10269|Los Llanos|Puerto Rico|Coamo
1027|Tuckahoe|Virginia|Henrico
10270|Laughlin AFB|Texas|Val Verde
10271|Leadville North|Colorado|Lake
10272|Franklinton|North Carolina|Franklin
10273|Vista Center|New Jersey|Ocean
10274|Phoenix|New York|Oswego
10275|Lake Hamilton|Arkansas|Garland
10276|La Porte City|Iowa|Black Hawk
10277|Newtown|Pennsylvania|Bucks
10278|Winsted|Minnesota|McLeod
10279|Grand Canyon Village|Arizona|Coconino
1028|Ceres|California|Stanislaus
10280|York|Alabama|Sumter
10281|Mulberry|North Carolina|Wilkes
10282|East Berwick|Pennsylvania|Luzerne
10283|Garfield|Texas|Travis
10284|Plattsburg|Missouri|Clinton
10285|Chesaning|Michigan|Saginaw
10286|Royal City|Washington|Grant
10287|Westbrook Center|Connecticut|Middlesex
10288|La Fermina|Puerto Rico|Humacao
10289|Holden|Missouri|Johnson
1029|St. Louis Park|Minnesota|Hennepin
10290|West Dennis|Massachusetts|Barnstable
10291|Jefferson|Maryland|Frederick
10292|Sugarcreek|Ohio|Tuscarawas
10293|Oakwood|Pennsylvania|Lawrence
10294|Buchanan|New York|Westchester
10295|Jackson|Kentucky|Breathitt
10296|Park Falls|Wisconsin|Price
10297|North Prairie|Wisconsin|Waukesha
10298|Hope|Indiana|Bartholomew
10299|Drum Point|Maryland|Calvert
103|Winston-Salem|North Carolina|Forsyth
1030|Rio Grande City|Texas|Starr
10300|Sky Valley|California|Riverside
10301|Uniontown|Alabama|Perry
10302|Weimar|Texas|Colorado
10303|Guyton|Georgia|Effingham
10304|Sewall's Point|Florida|Martin
10305|Centerburg|Ohio|Knox
10306|Columbia|California|Tuolumne
10307|Elwood|Illinois|Will
10308|Fredonia|Kansas|Wilson
10309|Pulaski|New York|Oswego
1031|Draper|Utah|Salt Lake
10310|Southworth|Washington|Kitsap
10311|Brownsville|Pennsylvania|Fayette
10312|Farmington|Illinois|Fulton
10313|Hennessey|Oklahoma|Kingfisher
10314|Mount Pleasant|North Carolina|Cabarrus
10315|Dolan Springs|Arizona|Mohave
10316|Boron|California|Kern
10317|Union|Oregon|Union
10318|North Eagle Butte|South Dakota|Dewey
10319|Grenelefe|Florida|Polk
1032|Palm Springs|California|Riverside
10320|Baldwin|Louisiana|St. Mary
10321|Cleona|Pennsylvania|Lebanon
10322|Henderson|Georgia|Chatham
10323|Lumberton|Mississippi|Lamar
10324|Gibbsboro|New Jersey|Camden
10325|Woodsfield|Ohio|Monroe
10326|Central|Tennessee|Carter
10327|Gates Mills|Ohio|Cuyahoga
10328|Cape Neddick|Maine|York
10329|Fort Pierre|South Dakota|Stanley
1033|Paducah|Kentucky|McCracken
10330|San Felipe Pueblo|New Mexico|Sandoval
10331|Soulsbyville|California|Tuolumne
10332|Jonesville|North Carolina|Yadkin
10333|Jonesville|Michigan|Hillsdale
10334|Amelia|Louisiana|St. Mary
10335|Chesterland|Ohio|Geauga
10336|Oak Hill|Florida|Volusia
10337|South Fulton|Tennessee|Obion
10338|Eatonville|Florida|Orange
10339|Green Meadows|Ohio|Clark
1034|Findlay|Ohio|Hancock
10340|Vincent|Alabama|Shelby
10341|Magnolia|Mississippi|Pike
10342|Bridgman|Michigan|Berrien
10343|New Llano|Louisiana|Vernon
10344|Wenonah|New Jersey|Gloucester
10345|Hudson|Michigan|Lenawee
10346|East Quincy|California|Plumas
10347|Henry|Illinois|Marshall
10348|Evarts|Kentucky|Harlan
10349|Sterling|Kansas|Rice
1035|University|Florida|Hillsborough
10350|White River Junction|Vermont|Windsor
10351|Holyoke|Colorado|Phillips
10352|West Terre Haute|Indiana|Vigo
10353|Hudson Bend|Texas|Travis
10354|Gaylord|Minnesota|Sibley
10355|South Pottstown|Pennsylvania|Chester
10356|Elmwood Place|Ohio|Hamilton
10357|Crimora|Virginia|Augusta
10358|Olimpo|Puerto Rico|Guayama
10359|Dry Ridge|Kentucky|Grant
1036|Bel Air South|Maryland|Harford
10360|Liverpool|New York|Onondaga
10361|Fox Lake Hills|Illinois|Lake
10362|Lake Village|Arkansas|Chicot
10363|North Plains|Oregon|Washington
10364|Wynnewood|Oklahoma|Garvin
10365|St. George|South Carolina|Dorchester
10366|Shinnecock Hills|New York|Suffolk
10367|Windham|Ohio|Portage
10368|Cimarron|Kansas|Gray
10369|Long Valley|New Jersey|Morris
1037|Antelope|California|Sacramento
10370|Cecil-Bishop|Pennsylvania|Washington
10371|Moorhead|Mississippi|Sunflower
10372|Arthur|Illinois|Douglas
10373|Lavonia|Georgia|Franklin
10374|Lovettsville|Virginia|Loudoun
10375|De Leon|Texas|Comanche
10376|Hawley|Minnesota|Clay
10377|Madison Center|Connecticut|New Haven
10378|Brewster Hill|New York|Putnam
10379|Valle Vista|Arizona|Mohave
1038|Kyle|Texas|Hays
10380|Ball Ground|Georgia|Cherokee
10381|Monserrate|Puerto Rico|Vega Baja
10382|Kingston|Washington|Kitsap
10383|Palmas del Mar|Puerto Rico|Humacao
10384|Coraz+¦n|Puerto Rico|Guayama
10385|Fremont|Indiana|Steuben
10386|Waskom|Texas|Harrison
10387|Blackville|South Carolina|Barnwell
10388|Fairfield Bay|Arkansas|Van Buren
10389|Lyons|Colorado|Boulder
1039|Monroe|Michigan|Monroe
10390|Crystal Lake|Connecticut|Tolland
10391|Ravensworth|Virginia|Fairfax
10392|Murphys|California|Calaveras
10393|Lemont|Pennsylvania|Centre
10394|Belleair Bluffs|Florida|Pinellas
10395|Old Brookville|New York|Nassau
10396|Chiefland|Florida|Levy
10397|Old Orchard|Pennsylvania|Northampton
10398|Arial|South Carolina|Pickens
10399|Lexington|Oklahoma|Cleveland
104|Bonita Springs|Florida|Lee
1040|Lincoln|California|Placer
10400|Pine Beach|New Jersey|Ocean
10401|Parkwood|California|Madera
10402|Pink|Oklahoma|Pottawatomie
10403|Marionville|Missouri|Lawrence
10404|Ashford|Alabama|Houston
10405|Glendale|Ohio|Hamilton
10406|Tullytown|Pennsylvania|Bucks
10407|Rio Verde|Arizona|Maricopa
10408|Erwinville|Louisiana|West Baton Rouge
10409|Hoschton|Georgia|Jackson
1041|Ocoee|Florida|Orange
10410|Amherst|Virginia|Amherst
10411|North Conway|New Hampshire|Carroll
10412|Pierre Part|Louisiana|Assumption
10413|Earle|Arkansas|Crittenden
10414|Spring Grove|Pennsylvania|York
10415|Ranchos de Taos|New Mexico|Taos
10416|East Uniontown|Pennsylvania|Fayette
10417|Pine Island Center|Florida|Lee
10418|Upper Nyack|New York|Rockland
10419|Croom|Maryland|Prince George's
1042|Burleson|Texas|Johnson
10420|Cibecue|Arizona|Navajo
10421|Boles Acres|New Mexico|Otero
10422|Polo|Illinois|Ogle
10423|Newkirk|Oklahoma|Kay
10424|Lakeshore|Louisiana|Ouachita
10425|Creston|Ohio|Wayne
10426|Cordova|Alaska|Valdez-Cordova
10427|Wells|Minnesota|Faribault
10428|South Fallsburg|New York|Sullivan
10429|Kearny|Arizona|Pinal
1043|La Mirada|California|Los Angeles
10430|Cheney|Kansas|Sedgwick
10431|Schofield|Wisconsin|Marathon
10432|Jellico|Tennessee|Campbell
10433|Adamsville|Tennessee|McNairy
10434|Pymatuning Central|Pennsylvania|Crawford
10435|Shiner|Texas|Lavaca
10436|Whitney|Texas|Hill
10437|Bethel Island|California|Contra Costa
10438|Chinchilla|Pennsylvania|Lackawanna
10439|Spencerville|Ohio|Allen
1044|Farmers Branch|Texas|Dallas
10440|Corralitos|California|Santa Cruz
10441|Rockwell|North Carolina|Rowan
10442|Eagle|Wisconsin|Waukesha
10443|Spiro|Oklahoma|Le Flore
10444|Messiah College|Pennsylvania|Cumberland
10445|Gassville|Arkansas|Baxter
10446|Patton Village|Texas|Montgomery
10447|Penndel|Pennsylvania|Bucks
10448|Union City|Oklahoma|Canadian
10449|Carlisle|Arkansas|Lonoke
1045|East Lansing|Michigan|Ingham
10450|McAdoo|Pennsylvania|Schuylkill
10451|Plainview|Tennessee|Union
10452|Walden|Tennessee|Hamilton
10453|Helmetta|New Jersey|Middlesex
10454|Farmington|Mississippi|Alcorn
10455|Glendale|Mississippi|Forrest
10456|Garyville|Louisiana|St. John the Baptist
10457|Reed Creek|Georgia|Hart
10458|Bottineau|North Dakota|Bottineau
10459|Ware Shoals|South Carolina|Greenwood
1046|Uniontown|Pennsylvania|Fayette
10460|Manchester|Michigan|Washtenaw
10461|Freeland|Washington|Island
10462|Brewster|Ohio|Stark
10463|Townsend|Montana|Broadwater
10464|Eglin AFB|Florida|Okaloosa
10465|New Ellenton|South Carolina|Aiken
10466|New Glarus|Wisconsin|Green
10467|Stonybrook|Pennsylvania|York
10468|Evansburg|Pennsylvania|Montgomery
10469|Millville|Utah|Cache
1047|Jeffersonville|Indiana|Clark
10470|Lake Wazeecha|Wisconsin|Wood
10471|Elmendorf|Texas|Bexar
10472|Morris|Alabama|Jefferson
10473|Maple Lake|Minnesota|Wright
10474|Caryville|Tennessee|Campbell
10475|Laymantown|Virginia|Botetourt
10476|Albany|Indiana|Delaware
10477|Parma|Idaho|Canyon
10478|Marlborough|Missouri|St. Louis
10479|Berkeley Lake|Georgia|Gwinnett
1048|Winder|Georgia|Barrow
10480|Barahona|Puerto Rico|Morovis
10481|Morenci|Michigan|Lenawee
10482|Lewistown|Illinois|Fulton
10483|Arlington|Minnesota|Sibley
10484|Chester|California|Plumas
10485|Cloverdale|Indiana|Putnam
10486|Borrego Springs|California|San Diego
10487|Rockport|Indiana|Spencer
10488|Kingsbury|Nevada|Douglas
10489|Long Beach|Maryland|Calvert
1049|Wauwatosa|Wisconsin|Milwaukee
10490|Toledo|Iowa|Tama
10491|Haverhill|Florida|Palm Beach
10492|Lafourche Crossing|Louisiana|Lafourche
10493|Fannett|Texas|Jefferson
10494|Lakin|Kansas|Kearny
10495|Piketon|Ohio|Pike
10496|Coaldale|Pennsylvania|Schuylkill
10497|Lorenz Park|New York|Columbia
10498|Clinton|Wisconsin|Rock
10499|Varnell|Georgia|Whitfield
105|Indio|California|Riverside
1050|Littleton|Colorado|Arapahoe
10500|Lipscomb|Alabama|Jefferson
10501|Rising Sun|Indiana|Ohio
10502|Granby|Colorado|Grand
10503|Cherryvale|Kansas|Montgomery
10504|Malad City|Idaho|Oneida
10505|Ridgetop|Tennessee|Robertson
10506|Howard Lake|Minnesota|Wright
10507|China Lake Acres|California|Kern
10508|Aviston|Illinois|Clinton
10509|Santa Nella|California|Merced
1051|Cumberland|Maryland|Allegany
10510|Emajagua|Puerto Rico|Maunabo
10511|Dublin|Pennsylvania|Bucks
10512|Wewahitchka|Florida|Gulf
10513|Montegut|Louisiana|Terrebonne
10514|Tavernier|Florida|Monroe
10515|Solomons|Maryland|Calvert
10516|Wrightsville|Arkansas|Pulaski
10517|Brighton|Illinois|Macoupin
10518|Johnson City|Texas|Blanco
10519|Liberty|Kentucky|Casey
1052|Cedar Hill|Texas|Dallas
10520|Reinholds|Pennsylvania|Lancaster
10521|Owens Cross Roads|Alabama|Madison
10522|Atlantis|Florida|Palm Beach
10523|Elkton|Kentucky|Todd
10524|Anchor Point|Alaska|Kenai Peninsula
10525|Belford|New Jersey|Monmouth
10526|Glenwood|Arkansas|Pike
10527|Redgranite|Wisconsin|Waushara
10528|North Beach Haven|New Jersey|Ocean
10529|Rouses Point|New York|Clinton
1053|Carrollton|Georgia|Carroll
10530|Salt Creek Commons|Indiana|Porter
10531|Demorest|Georgia|Habersham
10532|Orleans|Indiana|Orange
10533|Palmer|Texas|Ellis
10534|Vineyard Haven|Massachusetts|Dukes
10535|Tennille|Georgia|Washington
10536|Jasonville|Indiana|Greene
10537|Council Grove|Kansas|Morris
10538|Cabin John|Maryland|Montgomery
10539|Turner|Oregon|Marion
1054|Rancho Santa Margarita|California|Orange
10540|Tremont|Illinois|Tazewell
10541|Mason City|Illinois|Mason
10542|Country Knolls|New York|Saratoga
10543|Kahuku|Hawaii|Honolulu
10544|Mount Jackson|Virginia|Shenandoah
10545|Welch|West Virginia|McDowell
10546|Jal|New Mexico|Lea
10547|Cedar Grove|Wisconsin|Sheboygan
10548|Landisville|Pennsylvania|Lancaster
10549|Watchtower|New York|Ulster
1055|Beavercreek|Ohio|Greene
10550|Madison|North Carolina|Rockingham
10551|Ciales|Puerto Rico|Ciales
10552|Vinita Park|Missouri|St. Louis
10553|Ronan|Montana|Lake
10554|Maple Plain|Minnesota|Hennepin
10555|Hamilton City|California|Glenn
10556|Arnold Line|Mississippi|Lamar
10557|Hertford|North Carolina|Perquimans
10558|Stanfield|Oregon|Umatilla
10559|Huntington|Texas|Angelina
1056|Niagara Falls|New York|Niagara
10560|East Missoula|Montana|Missoula
10561|Wilmerding|Pennsylvania|Allegheny
10562|Quitman|Mississippi|Clarke
10563|Montz|Louisiana|St. Charles
10564|Unionville|Tennessee|Bedford
10565|Horseshoe Bend|Arkansas|Izard
10566|Breckinridge Center|Kentucky|Union
10567|Lake Lotawana|Missouri|Jackson
10568|Bell Canyon|California|Ventura
10569|Hickman|Kentucky|Fulton
1057|McLean|Virginia|Fairfax
10570|Kountze|Texas|Hardin
10571|West Hamburg|Pennsylvania|Berks
10572|Pawnee|Oklahoma|Pawnee
10573|Jamestown|Tennessee|Fentress
10574|Williston Highlands|Florida|Levy
10575|Eureka Springs|Arkansas|Carroll
10576|Helper|Utah|Carbon
10577|Cudjoe Key|Florida|Monroe
10578|Conesus Lake|New York|Livingston
10579|Braddock|Pennsylvania|Allegheny
1058|North Highlands|California|Sacramento
10580|Jonestown|Texas|Travis
10581|Belvedere|California|Marin
10582|Shinnston|West Virginia|Harrison
10583|San Juan Bautista|California|San Benito
10584|Belville|North Carolina|Brunswick
10585|East Helena|Montana|Lewis and Clark
10586|Maysville|Georgia|Banks
10587|Cumberland|Wisconsin|Barron
10588|Falmouth|Kentucky|Pendleton
10589|Angola|New York|Erie
1059|East Providence|Rhode Island|Providence
10590|Smoke Rise|Alabama|Blount
10591|Hanley Hills|Missouri|St. Louis
10592|Gila Bend|Arizona|Maricopa
10593|Westport|Washington|Grays Harbor
10594|Bowdon|Georgia|Carroll
10595|Willow Springs|Missouri|Howell
10596|New Boston|Ohio|Scioto
10597|Poquonock Bridge|Connecticut|New London
10598|Oakbrook Terrace|Illinois|DuPage
10599|Kure Beach|North Carolina|New Hanover
106|Palm Coast|Florida|Flagler
1060|Florin|California|Sacramento
10600|Nisswa|Minnesota|Crow Wing
10601|South Zanesville|Ohio|Muskingum
10602|North Pole|Alaska|Fairbanks North Star
10603|Josephine|Texas|Collin
10604|Manahawkin|New Jersey|Ocean
10605|Chouteau|Oklahoma|Mayes
10606|Graysville|Alabama|Jefferson
10607|Malone|Florida|Jackson
10608|Milford|Nebraska|Seward
10609|Laguna Heights|Texas|Cameron
1061|East Honolulu|Hawaii|Honolulu
10610|Williamsport|Maryland|Washington
10611|Calwa|California|Fresno
10612|Essex Fells|New Jersey|Essex
10613|Walnutport|Pennsylvania|Northampton
10614|Greenock|Pennsylvania|Allegheny
10615|Lame Deer|Montana|Rosebud
10616|Greenfield|Tennessee|Weakley
10617|Geneva|Nebraska|Fillmore
10618|Gurdon|Arkansas|Clark
10619|Marceline|Missouri|Linn
1062|Chesterfield|Missouri|St. Louis
10620|Granby|Missouri|Newton
10621|Patterson Tract|California|Tulare
10622|Astatula|Florida|Lake
10623|New Eagle|Pennsylvania|Washington
10624|Fairbanks Ranch|California|San Diego
10625|Lake Holiday|Virginia|Frederick
10626|Versailles|Indiana|Ripley
10627|Cairo|Illinois|Alexander
10628|Auburn|Michigan|Bay
10629|Houston|Missouri|Texas
1063|Covina|California|Los Angeles
10630|Rockwell City|Iowa|Calhoun
10631|Naples|Utah|Uintah
10632|Mineralwells|West Virginia|Wood
10633|Galesburg|Michigan|Kalamazoo
10634|Cabool|Missouri|Texas
10635|Horse Pasture|Virginia|Henry
10636|Cowarts|Alabama|Houston
10637|Spencerville|Maryland|Montgomery
10638|Columbus Grove|Ohio|Putnam
10639|Fifth Street|Texas|Fort Bend
1064|Bothell|Washington|King
10640|Columbus|Montana|Stillwater
10641|Honokaa|Hawaii|Hawaii
10642|Cambridge|Illinois|Henry
