ID;Has_Existing_Home_Loan;installment
777;Y;26100
778;N;0
779;Y;3652,5
780;Y;19983,5
781;Y;26500,5
782;Y;6075
783;Y;14985
784;Y;25245
785;Y;7290
786;N;0
787;Y;55375,5
788;Y;9150
789;N;0
790;Y;3678
791;Y;8977,5
792;Y;3577,5
793;Y;7425
794;N;0
795;N;0
796;Y;12204,5
797;Y;24360
798;Y;18373,5
799;Y;15997,5
800;Y;10744
801;Y;2392
802;Y;29826,5
803;Y;17016
804;Y;4087
805;Y;20124
806;Y;6863,5
807;Y;15120
808;Y;5220
809;Y;46200
810;Y;29601
811;Y;1672,5
812;Y;20850
813;Y;38362,5
814;Y;28188
815;Y;14304
816;Y;8158,5
817;Y;39480
818;N;0
819;N;0
820;Y;11396
821;Y;44621,5
822;Y;1702
823;Y;9394
824;Y;7400
825;Y;13042,5
826;Y;12180
827;N;0
828;Y;23751
829;Y;11235
830;Y;6840
831;Y;5698
832;Y;34452
833;Y;14805
834;N;0
835;Y;21970
836;Y;3108
837;Y;21411
838;Y;6882
839;Y;27977,5
840;Y;2203
841;Y;25412,5
842;N;0
843;N;0
844;Y;7425
845;Y;1627
846;Y;19104
847;Y;3385,5
848;Y;11102
849;Y;18315
850;N;0
851;Y;56016
852;Y;52639,5
853;N;0
854;Y;17748
855;Y;10935
856;Y;8855
857;Y;18037,5
858;N;0
859;N;0
860;Y;13770
861;Y;27007,5
862;Y;12150
863;Y;34857
864;Y;7695
865;Y;1620
866;N;0
867;N;0
868;Y;4162,5
869;Y;3948
870;Y;23664
871;Y;4567,5
872;Y;6068
873;Y;4959
874;N;0
875;N;0
876;Y;6364
877;N;0
878;Y;28710
879;Y;10619
880;Y;41499
881;Y;15516
882;Y;21402
883;N;0
884;Y;15300
885;N;0
886;Y;4674
887;Y;15612
888;Y;26901
889;Y;31887
890;N;0
891;Y;12060
892;Y;14060
893;Y;10062
894;Y;31329
895;Y;53055
896;Y;9990
897;Y;19167,5
898;N;0
899;Y;21822,5
900;Y;15415
901;N;0
902;Y;10291,5
903;Y;2767,5
904;Y;15768,5
905;Y;8880
906;N;0
907;N;0
908;Y;17130
909;N;0
910;Y;11241
911;Y;14079
912;Y;7122,5
913;Y;4941
914;N;0
915;N;0
916;Y;17649
917;N;0
918;Y;11671
919;Y;13747,5
920;Y;13176
921;Y;34680
922;N;0
923;N;0
924;Y;53388
925;N;0
926;Y;14917,5
927;Y;6086,5
928;Y;26625
929;Y;4162,5
930;N;0
931;N;0
932;Y;36960
933;Y;15032,5
934;Y;27319,5
935;Y;20993
936;Y;24120
937;Y;10575
938;N;0
939;Y;29782,5
940;Y;18361
941;N;0
942;Y;6216
943;Y;5673
944;Y;3868
945;Y;21771
946;Y;61674
947;N;0
948;Y;12397,5
949;N;0
950;Y;32448
951;Y;19650
952;Y;14823
953;Y;37884
954;Y;34086
955;N;0
956;Y;20592
957;Y;4666,5
958;Y;37359
959;Y;5737,5
960;Y;19524,5
961;Y;17280
962;Y;9048
963;N;0
964;Y;4292
965;Y;5025
966;Y;17400
967;Y;11137,5
968;Y;12127,5
969;Y;39193,5
970;N;0
971;Y;9352,5
972;Y;21060
973;N;0
974;Y;35208
975;Y;6525
976;Y;17965,5
977;Y;32886
978;Y;4785
979;Y;2740,5
980;Y;20532
981;Y;9222
982;Y;12615
983;Y;15540
984;Y;17550
985;Y;15799
986;Y;6655,5
987;Y;52147,5
988;Y;17612
989;Y;10962
990;Y;18540
991;Y;8436
992;Y;12746,5
993;Y;36366
994;Y;46530
995;N;0
996;Y;13520
997;N;0
998;Y;7500
999;Y;13838
1000;Y;17550
1001;Y;28836
1002;N;0
1003;N;0
1004;Y;21502,5
1005;N;0
1006;Y;21807,5
1007;Y;1887
1008;Y;20257,5
1009;Y;23175
1010;Y;12675
1011;N;0
1012;Y;37383
1013;Y;3111
1014;Y;35496
1015;Y;26901
1016;Y;11285
1017;Y;17160
1018;Y;14328
1019;Y;12347,5
1020;Y;16104
1021;N;0
1022;Y;15860
1023;Y;13063,5
1024;Y;20587,5
1025;Y;9336
1026;Y;20900
1027;N;0
1028;Y;12688
1029;N;0
1030;Y;14680
1031;Y;6930
1032;Y;5688
1033;Y;13680
1034;N;0
1035;N;0
1036;Y;4050
1037;N;0
1038;Y;14670,5
1039;Y;9720
1040;Y;2941,5
1041;Y;15817,5
1042;N;0
1043;N;0
1044;Y;9712,5
1045;N;0
1046;Y;3568,5
1047;Y;5180
1048;Y;2835
1049;Y;9525
1050;Y;10675
1051;N;0
1052;Y;14196
1053;N;0
1054;Y;13282,5
1055;Y;11970
1056;Y;10212
1057;Y;27126
1058;N;0
1059;N;0
1060;Y;31000
1061;N;0
1062;Y;11192,5
1063;Y;6372,5
1064;Y;22835
1065;Y;43065
1066;Y;19716
1067;Y;30537
1068;Y;11992,5
1069;Y;19918,5
1070;Y;5481
1071;Y;6331,5
1072;Y;18700
1073;Y;15280
1074;Y;23157
1075;Y;12922,5
1076;Y;19035
1077;Y;12720
1078;Y;42187,5
1079;Y;11907,5
1080;Y;24757
1081;Y;10237,5
1082;Y;33156
1083;Y;18270
1084;Y;34713
1085;N;0
1086;Y;9990
1087;Y;13882,5
1088;Y;41486,5
1089;Y;4573,5
1090;Y;6115
1091;Y;61710
1092;Y;4438,5
1093;N;0
1094;Y;11740
1095;Y;34398
1096;Y;4426
1097;Y;9744
1098;Y;37869
1099;Y;6655,5
1100;Y;24309
1101;Y;13794
1102;Y;16576
1103;Y;12708,5
1104;Y;18056
1105;Y;38904
1106;Y;27418,5
1107;N;0
1108;Y;44253
1109;Y;20130
1110;Y;17251,5
1111;Y;3441
1112;Y;19983,5
1113;Y;17661
1114;Y;24795
1115;N;0
1116;Y;39132
1117;N;0
1118;Y;15381
1119;Y;4657,5
1120;Y;5160
1121;Y;48363
1122;N;0
1123;N;0
1124;Y;11142
1125;Y;3204
1126;Y;10885
1127;Y;13578
1128;Y;11820
1129;Y;52560
1130;Y;29971,5
1131;N;0
1132;Y;9949,5
1133;Y;2784
1134;Y;48897
1135;Y;14903
1136;Y;20767,5
1137;Y;7356
1138;Y;44167,5
1139;Y;32167
1140;Y;9028
1141;Y;34485
1142;Y;21262,5
1143;Y;3847,5
1144;Y;25852,5
1145;Y;15151,5
1146;Y;34909,5
1147;N;0
1148;Y;32364
1149;Y;52137
1150;Y;12820,5
1151;Y;21870
1152;Y;36540
1153;Y;37758
1154;Y;47937
1155;Y;34240
1156;Y;21645
1157;N;0
1158;Y;13950
1159;Y;27735
1160;Y;4588
1161;Y;8010
1162;Y;18165
1163;Y;39864
1164;Y;23560
1165;Y;7810
1166;Y;8214
1167;Y;26579,5
1168;Y;19857,5
1169;Y;11252,5
1170;Y;49455
1171;N;0
1172;Y;17550
1173;N;0
1174;Y;14730
1175;Y;23595
1176;Y;3385,5
1177;Y;22277,5
1178;N;0
1179;Y;18388
1180;Y;4117,5
1181;Y;7933,5
1182;Y;33516
1183;Y;26028
1184;Y;33216
1185;Y;11295
1186;Y;54577,5
1187;Y;41325
1188;Y;18130
1189;Y;33120
1190;Y;5280
1191;Y;22567,5
1192;Y;5457,5
1193;Y;12025
1194;Y;49266
1195;N;0
1196;Y;24530
1197;Y;28512
1198;Y;19299
1199;Y;47763
1200;Y;3375
1201;Y;14542,5
1202;N;0
1203;N;0
1204;Y;16087,5
1205;N;0
1206;Y;6757,5
1207;Y;4536
1208;Y;54349,5
1209;Y;12714
1210;Y;7308
1211;Y;7177,5
1212;Y;9306
1213;N;0
1214;Y;16457
1215;Y;19140
1216;Y;24403,5
1217;Y;21474
1218;N;0
1219;Y;6192
1220;Y;13209
1221;Y;45528
1222;Y;17280
1223;Y;7177,5
1224;Y;5058
1225;Y;24024
1226;Y;16104
1227;Y;56686,5
1228;Y;38182,5
1229;Y;28128
1230;Y;23040
1231;Y;42151,5
1232;Y;13632,5
1233;Y;24612,5
1234;Y;25812
1235;N;0
1236;Y;4218
1237;Y;12668
1238;Y;37867,5
1239;Y;22800
1240;Y;11160
1241;Y;30459
1242;N;0
1243;Y;4403
1244;Y;4836
1245;N;0
1246;Y;11994
1247;Y;37714,5
1248;Y;23137,5
1249;Y;2735
1250;Y;13266
1251;Y;18858
1252;Y;37714,5
1253;N;0
1254;Y;29554,5
1255;Y;14094
1256;Y;3774
1257;Y;18389
1258;N;0
1259;Y;17661
1260;Y;47110,5
1261;Y;28857,5
1262;Y;2880
1263;Y;34680
1264;Y;6993
1265;Y;47448
1266;N;0
1267;N;0
1268;Y;11218,5
1269;N;0
1270;Y;5550
1271;Y;12832,5
1272;Y;14430
1273;Y;31707
1274;Y;11832
1275;Y;47328
1276;Y;29667
1277;Y;17370
1278;Y;7840
1279;Y;15457
1280;Y;7695
1281;Y;9579,5
1282;Y;14002,5
1283;Y;10431
1284;Y;18870
1285;Y;36330
1286;Y;4950
1287;Y;3040
1288;Y;9390
1289;Y;15466
1290;Y;37192,5
1291;Y;4965
1292;Y;34335
1293;Y;30249
1294;Y;24255
1295;Y;23887,5
1296;Y;5827,5
1297;Y;6216
1298;Y;14355
1299;N;0
1300;Y;23638,5
1301;N;0
1302;Y;6327
1303;Y;13351
1304;Y;16515
1305;Y;9732
1306;N;0
1307;Y;30880,5
1308;Y;6863,5
1309;Y;11335
1310;Y;16650
1311;Y;19693,5
1312;Y;21272
1313;Y;23925
1314;N;0
1315;N;0
1316;Y;18278
1317;Y;13029
1318;Y;11544
1319;Y;11988
1320;Y;32766,5
1321;Y;9180
1322;N;0
1323;N;0
1324;Y;20532
1325;Y;20215
1326;Y;3660
1327;Y;30132,5
1328;Y;11527,5
1329;Y;14620
1330;Y;4678
1331;Y;15495
1332;Y;9145,5
1333;N;0
1334;Y;31860
1335;Y;8467,5
1336;Y;14940
1337;Y;16039,5
1338;Y;42151,5
1339;N;0
1340;Y;11118
1341;Y;43197
1342;Y;4005
1343;Y;2886
1344;Y;16050
1345;Y;25839
1346;Y;50895
1347;Y;8936
1348;Y;32059,5
1349;N;0
1350;Y;18037,5
1351;Y;5266,5
1352;Y;43848
1353;Y;22489,5
1354;Y;30640,5
1355;Y;35322
1356;Y;37086
1357;N;0
1358;Y;14175
1359;Y;27709,5
1360;Y;5810
1361;Y;32265
1362;N;0
1363;Y;31935
1364;Y;31798,5
1365;Y;66433,5
1366;Y;10780
1367;Y;43560
1368;Y;11962,5
1369;Y;16668,5
1370;N;0
1371;N;0
1372;Y;20880
1373;Y;42456
1374;Y;20358
1375;Y;7798,5
1376;Y;17745
1377;Y;2640
1378;N;0
1379;N;0
1380;Y;6390
1381;Y;10875
1382;Y;3580,5
1383;Y;28287
1384;Y;18420
1385;Y;52896
1386;Y;40824
1387;Y;24921
1388;Y;20628
1389;Y;17661
1390;Y;16576
1391;Y;22652,5
1392;Y;20340,5
1393;Y;7695
1394;N;0
1395;N;0
1396;Y;3375
1397;Y;35637
1398;Y;13612,5
1399;Y;15392
1400;Y;3733,5
1401;Y;2331
1402;Y;13072
1403;Y;20443,5
1404;Y;17464
1405;Y;21735
1406;Y;21490
1407;Y;41760
1408;Y;24255
1409;Y;12555
1410;Y;40953
1411;N;0
1412;Y;19031,5
1413;N;0
1414;Y;13542
1415;Y;13708,5
1416;Y;7830
1417;Y;16138,5
1418;Y;5122,5
1419;Y;12240
1420;Y;18648
1421;Y;15921
1422;Y;3930
1423;Y;14040
1424;Y;15392
1425;Y;15984
1426;N;0
1427;N;0
1428;Y;18056
1429;N;0
1430;Y;22144,5
1431;Y;10875
1432;Y;4623
1433;Y;4050
1434;N;0
1435;N;0
1436;Y;5087,5
1437;N;0
1438;Y;20979
1439;Y;8845
1440;Y;36582
1441;Y;8288
1442;N;0
1443;N;0
1444;Y;40278
1445;Y;22152
1446;Y;23989,5
1447;Y;17629,5
1448;Y;3307,5
1449;Y;4717,5
1450;N;0
1451;Y;21681
1452;Y;19332,5
1453;Y;48978
1454;Y;41107,5
1455;Y;16417,5
1456;Y;3163,5
1457;Y;5133
1458;N;0
1459;Y;12615
1460;Y;31668
1461;N;0
1462;Y;2405
1463;Y;10601,5
1464;Y;7177,5
1465;Y;26419,5
1466;Y;39520
1467;Y;30276
1468;Y;28975
1469;N;0
1470;Y;16644
1471;Y;6000
1472;Y;12180
1473;Y;11340
1474;Y;27840
1475;Y;48297
1476;Y;47763
1477;Y;35482,5
1478;Y;16305
1479;Y;13727
1480;Y;55972,5
1481;Y;18817,5
1482;N;0
1483;N;0
1484;Y;19845
1485;N;0
1486;Y;11990
1487;Y;10854
1488;Y;17748
1489;Y;28548
1490;N;0
1491;N;0
1492;Y;12510
1493;N;0
1494;Y;3526,5
1495;Y;22500
1496;Y;8584
1497;Y;11195
1498;N;0
1499;Y;46494
1500;Y;12950
1501;Y;38280
1502;Y;22785
1503;Y;22968
1504;Y;6380
1505;Y;45414
1506;Y;9744
1507;Y;33277,5
1508;Y;13162,5
1509;Y;13520
1510;Y;5850
1511;Y;24795
1512;Y;38454
1513;Y;23490
1514;N;0
1515;N;0
1516;Y;5642,5
1517;Y;39802,5
1518;Y;10735
1519;Y;12828
1520;Y;8516
1521;Y;13150,5
1522;N;0
1523;Y;21289,5
1524;Y;49827
1525;Y;9570
1526;Y;4736
1527;Y;7488
1528;Y;17068
1529;Y;7618,5
1530;N;0
1531;Y;8700
1532;Y;15475,5
1533;N;0
1534;Y;8730
1535;Y;29450
1536;Y;14763
1537;Y;45109,5
1538;Y;10602
1539;N;0
1540;Y;13950
1541;Y;16182
1542;Y;4155
1543;Y;8020
1544;Y;25389
1545;Y;9744
1546;Y;34713
1547;Y;5481
1548;Y;5046
1549;Y;2784
1550;Y;12397,5
1551;Y;25117,5
1552;Y;3219
1553;Y;12006,5
1554;N;0
1555;N;0
1556;Y;4162,5
1557;Y;17334
1558;Y;17512
1559;Y;7280
1560;Y;28304
1561;Y;19730
1562;N;0
1563;Y;13785
1564;Y;24680
1565;Y;18165
1566;Y;66462
1567;Y;43956
1568;Y;9702
1569;Y;24360
1570;N;0
1571;N;0
1572;Y;18432
1573;N;0
1574;Y;39802,5
1575;Y;14208
1576;Y;11962,5
1577;Y;37611
1578;N;0
1579;Y;53722,5
1580;Y;40404
1581;Y;21525
1582;Y;42282
1583;Y;7969,5
1584;Y;28690
1585;Y;6993
1586;Y;48832,5
1587;Y;4590
1588;Y;37800
1589;N;0
1590;Y;9990
1591;Y;7104
1592;Y;12645
1593;Y;26222,5
1594;Y;8860,5
1595;N;0
1596;Y;33379,5
1597;N;0
1598;Y;12876
1599;Y;29065,5
1600;Y;25839
1601;Y;38682
1602;N;0
1603;Y;18312
1604;Y;18574,5
1605;Y;48279
1606;Y;8460
1607;Y;35931
1608;Y;9607,5
1609;Y;28830
1610;Y;34359
1611;Y;14850
1612;Y;32283
1613;N;0
1614;Y;6030
1615;Y;49923
1616;Y;6015
1617;Y;16835
1618;N;0
1619;N;0
1620;Y;27144
1621;Y;25461
1622;Y;30145,5
1623;Y;45849
1624;Y;3645
1625;Y;5652
1626;Y;33228
1627;Y;2523
1628;Y;19936
1629;N;0
1630;Y;14175
1631;Y;23004
1632;Y;30615
1633;Y;3219
1634;N;0
1635;N;0
1636;Y;4252,5
1637;N;0
1638;Y;21378
1639;Y;4845
1640;Y;25720
1641;Y;11812,5
1642;Y;20532
1643;Y;31320
1644;Y;8700
1645;N;0
1646;Y;7400
1647;Y;10266
1648;Y;5642,5
1649;Y;5735
1650;Y;12140
1651;Y;7452
1652;Y;22837,5
1653;N;0
1654;Y;58821
1655;Y;18245,5
1656;Y;14017,5
1657;Y;8320,5
1658;Y;36426
1659;Y;32851,5
1660;Y;6490
1661;N;0
1662;Y;6585
1663;Y;14355
1664;Y;8047,5
